p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
68,48,Tommy Robredo,$1.611,Tommy Robredo,Apr 22 2013,Barcelona,R32,Grigor Dimitrov,FALSE,68,cluster_3,-0.27,13
70,41,Milos Raonic,$2.638,Milos Raonic,Apr 22 2013,Barcelona,R16,Ernests Gulbis,FALSE,67,cluster_2,-0.8,22
63,26,Fernando Verdasco,$1.400,Ernests Gulbis,Apr 22 2013,Barcelona,R32,Ernests Gulbis,FALSE,68,cluster_3,1.52,21
55,35,Nicolas Almagro,$1.116,Rafael Nadal,Apr 22 2013,Barcelona,F,Rafael Nadal,FALSE,88,cluster_2,3.51,33
47,30,Milos Raonic,$1.093,Rafael Nadal,Apr 22 2013,Barcelona,S,Rafael Nadal,FALSE,89,cluster_4,6.56,33
64,28,Tommy Robredo,$1.445,Milos Raonic,Apr 22 2013,Barcelona,Q,Milos Raonic,FALSE,33,cluster_0,0.95,14
58,29,Ernests Gulbis,$1.568,Milos Raonic,Apr 22 2013,Barcelona,R16,Milos Raonic,FALSE,35,cluster_2,0.38,8
71,35,Milos Raonic,$3.075,Milos Raonic,Apr 22 2013,Barcelona,Q,Tommy Robredo,FALSE,57,cluster_4,-1.3,15
63,37,Tomas Berdych,$2.975,Tommy Robredo,Apr 22 2013,Barcelona,R16,Tommy Robredo,FALSE,58,cluster_0,0.34,26
51,31,Grigor Dimitrov,$2.523,Tommy Robredo,Apr 22 2013,Barcelona,R32,Tommy Robredo,FALSE,59,cluster_2,1.61,18
73,36,Ernests Gulbis,$2.850,Ernests Gulbis,Apr 22 2013,Barcelona,R32,Fernando Verdasco,FALSE,59,cluster_3,-0.27,19
50,32,Andreas Seppi,$1.219,David Ferrer,Apr 29 2013,Oeiras,S,David Ferrer,FALSE,82,cluster_0,4.24,24
65,39,Tommy Haas,$1.820,Tommy Haas,Apr 29 2013,Munich,R16,Ernests Gulbis,FALSE,65,cluster_1,-0.46,15
60,34,Ernests Gulbis,$2.139,Tommy Haas,Apr 29 2013,Munich,R16,Tommy Haas,FALSE,70,cluster_4,0.91,27
66,46,Andreas Seppi,$1.755,Andreas Seppi,Apr 29 2013,Oeiras,Q,Tommy Robredo,FALSE,54,cluster_3,-0.73,9
67,49,David Ferrer,$5.094,David Ferrer,Apr 29 2013,Oeiras,S,Andreas Seppi,FALSE,59,cluster_3,-1.64,10
53,33,Tommy Robredo,$2.236,Andreas Seppi,Apr 29 2013,Oeiras,Q,Andreas Seppi,FALSE,60,cluster_2,1.16,23
58,14,David Ferrer,$2.980,Stan Wawrinka,Apr 29 2013,Oeiras,F,Stan Wawrinka,FALSE,62,cluster_0,1.52,14
72,48,Marin Cilic,$3.487,Marin Cilic,May 5 2013,ATP World Tour Masters 1000 Monte Carlo,R32,Kevin Anderson,FALSE,32,cluster_4,-1.07,11
60,36,Kevin Anderson,$1.366,Tomas Berdych,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Tomas Berdych,FALSE,75,cluster_3,1.41,23
62,36,Tommy Robredo,$1.469,Tommy Robredo,May 5 2013,Barcelona,R16,Tomas Berdych,FALSE,77,cluster_4,-0.15,15
64,39,Stan Wawrinka,$2.842,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Grigor Dimitrov,FALSE,65,cluster_1,-0.22,13
63,36,Novak Djokovic,$11.919,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Grigor Dimitrov,FALSE,66,cluster_1,-0.64,17
