player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Roger Federer,Novak Djokovic,Novak Djokovic,Nov 4 2013,ATP World Tour Masters 1000 Paris,S,$3.964,$1.308,0.4,2.55,19,24
Richard Gasquet,Rafael Nadal,Rafael Nadal,Nov 4 2013,ATP World Tour Masters 1000 Paris,Q,$5.407,$1.202,-0.17,0.89,2,4
Rafael Nadal,Novak Djokovic,Novak Djokovic,Nov 4 2013,Barclays ATP World Tour Finals,F,$2.571,$1.592,0.02,2.45,13,19
Stan Wawrinka,Novak Djokovic,Novak Djokovic,Nov 4 2013,Barclays ATP World Tour Finals,S,$5.658,$1.190,-0.51,2.03,7,21
Tomas Berdych,Novak Djokovic,Novak Djokovic,Nov 15 2013,Davis Cup,Reverse Singles,$10.342,$1.087,-0.32,1.78,3,12
Marin Cilic,Kei Nishikori,Kei Nishikori,Dec 30 2013,Brisbane,Q,$1.816,$2.144,-0.11,0.97,3,14
Marin Cilic,Grigor Dimitrov,Marin Cilic,Dec 30 2013,Brisbane,R16,$2.394,$1.669,0.93,0.26,12,13
Roger Federer,Jeremy Chardy,Roger Federer,Dec 30 2013,Brisbane,S,$1.082,$10.735,2.85,-0.91,23,7
Roger Federer,Rafael Nadal,Rafael Nadal,Dec 30 2013,Barclays ATP World Tour Finals,S,$3.693,$1.340,-0.03,4.47,13,29
Lleyton Hewitt,Kei Nishikori,Lleyton Hewitt,Dec 30 2013,Brisbane,S,$2.437,$1.648,0.17,0.12,2,6
Rafael Nadal,Gael Monfils,Rafael Nadal,Dec 30 2013,Doha,F,$1.411,$3.245,3.84,-0.25,25,2
Rafael Nadal,Ernests Gulbis,Rafael Nadal,Dec 30 2013,Doha,Q,$1.237,$4.792,3.42,-0.33,34,3
Gael Monfils,David Ferrer,David Ferrer,Jan 6 2014,Valencia,R32,$2.717,$1.541,-0.53,0.92,4,5
Richard Gasquet,Gael Monfils,Gael Monfils,Jan 7 2014,Doha,R16,$2.465,$1.636,-0.29,1.18,3,6
Mikhail Youzhny,Kevin Anderson,Kevin Anderson,Jan 7 2014,ATP World Tour Masters 1000 Paris,R64,$1.538,$2.727,-0.25,0.16,4,11
Tomas Berdych,Stan Wawrinka,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Semi Final,$2.145,$1.815,0.3,0.86,6,8
Tomas Berdych,David Ferrer,Tomas Berdych,Jan 13 2014,Australian Open Slam,Quarter Final,$1.554,$2.460,-0.08,0.16,7,20
Tomas Berdych,Kevin Anderson,Tomas Berdych,Jan 13 2014,Australian Open Slam,Round of 16,$1.109,$4.837,2.4,-1.91,14,16
Tomas Berdych,Kevin Anderson,Tomas Berdych,Jan 13 2014,Australian Open Slam,Round of 16,$1.109,$6.753,2.4,-1.27,14,12
Jeremy Chardy,David Ferrer,David Ferrer,Jan 13 2014,Australian Open Slam,Round of 32,$3.334,$1.395,-1.11,2.53,11,24
Roger Federer,Jo-Wilfried Tsonga,Roger Federer,Jan 13 2014,Australian Open Slam,Round of 16,$1.554,$2.460,2.52,-0.64,21,10
Roger Federer,Lleyton Hewitt,Lleyton Hewitt,Jan 13 2014,Brisbane,F,$1.174,$6.053,0.54,0.11,10,1
Lleyton Hewitt,Andreas Seppi,Andreas Seppi,Jan 13 2014,Australian Open Slam,Round of 128,$1.283,$4.206,0.02,-0.17,3,6
Rafael Nadal,Grigor Dimitrov,Rafael Nadal,Jan 13 2014,Australian Open Slam,Quarter Final,$1.114,$6.575,2.36,-0.06,25,1
Rafael Nadal,Kei Nishikori,Rafael Nadal,Jan 13 2014,Australian Open Slam,Round of 16,$1.029,$12.817,1.41,-0.59,20,5
Rafael Nadal,Gael Monfils,Rafael Nadal,Jan 13 2014,Australian Open Slam,Round of 32,$1.100,$7.098,4.59,-0.3,23,3
Milos Raonic,Grigor Dimitrov,Grigor Dimitrov,Jan 13 2014,Australian Open Slam,Round of 32,$1.726,$2.125,-0.8,0.14,16,12
Tommy Robredo,Stan Wawrinka,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Round of 16,$3.191,$1.358,-0.56,1.44,7,15
Tommy Robredo,Richard Gasquet,Tommy Robredo,Jan 13 2014,Australian Open Slam,Round of 32,$2.579,$1.510,0.63,0.09,8,3
Stan Wawrinka,Rafael Nadal,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Final,$6.025,$1.175,0.68,-0.13,8,6
Stan Wawrinka,Novak Djokovic,Stan Wawrinka,Jan 13 2014,Australian Open Slam,Quarter Final,$7.979,$1.081,-0.24,-0.14,5,9
Roger Federer,Rafael Nadal,Rafael Nadal,Jan 31 2014,Australian Open Slam,Semi Final,$2.424,$1.654,0.03,2.43,10,17
Nicolas Almagro,David Ferrer,David Ferrer,Feb 10 2014,Buenos Aires,S,$3.571,$1.357,-0.22,2.06,5,19
Nicolas Almagro,Jeremy Chardy,Nicolas Almagro,Feb 10 2014,Buenos Aires,Q,$1.424,$3.176,1.05,-0.05,12,6
Tomas Berdych,Marin Cilic,Tomas Berdych,Feb 10 2014,Rotterdam,F,$1.472,$2.962,1.56,-0.04,10,7
Tomas Berdych,Ernests Gulbis,Tomas Berdych,Feb 10 2014,Rotterdam,S,$1.574,$2.619,1.74,-0.15,11,8
Marin Cilic,Jo-Wilfried Tsonga,Marin Cilic,Feb 10 2014,Rotterdam,R16,$2.619,$1.574,0.57,-0.51,5,9
Juan Martin Del Potro,Ernests Gulbis,Ernests Gulbis,Feb 10 2014,Rotterdam,Q,$1.376,$3.447,-0.18,1.1,2,11
Juan Martin Del Potro,Gael Monfils,Juan Martin Del Potro,Feb 10 2014,Rotterdam,R32,$1.584,$2.593,-0.15,0.17,2,1
Juan Martin Del Potro,Gael Monfils,Juan Martin Del Potro,Feb 10 2014,Rotterdam,R32,$1.584,$4.446,-0.15,-0.44,2,16
Grigor Dimitrov,Ernests Gulbis,Ernests Gulbis,Feb 10 2014,Rotterdam,R16,$1.591,$2.575,0.13,1.28,10,12
Richard Gasquet,Gael Monfils,Gael Monfils,Feb 10 2014,Montpellier,F,$1.852,$2.096,-0.11,0.17,2,1
Tommy Haas,Fernando Verdasco,Tommy Haas,Feb 10 2014,Rotterdam,R32,$1.853,$2.095,0.25,-0.04,4,7
Tommy Haas,Marin Cilic,Marin Cilic,Feb 10 2014,Zagreb,F,$2.752,$1.530,-0.88,0.66,5,6
Jeremy Chardy,David Ferrer,David Ferrer,Feb 17 2014,Rio de Janeiro,R32,$6.948,$1.145,-0.39,2.38,5,13
Marin Cilic,Kevin Anderson,Marin Cilic,Feb 17 2014,Delray Beach,F,$1.357,$3.571,0.22,-0.33,3,11
Marin Cilic,John Isner,Marin Cilic,Feb 17 2014,Delray Beach,S,$1.470,$2.971,0.13,-0.47,3,5
Jo-Wilfried Tsonga,Ernests Gulbis,Ernests Gulbis,Feb 17 2014,Marseille,F,$1.703,$2.327,-0.41,0.55,7,3
Kevin Anderson,Grigor Dimitrov,Grigor Dimitrov,Feb 24 2014,Acapulco,F,$2.915,$1.484,-0.36,0.03,8,7
Kevin Anderson,David Ferrer,Kevin Anderson,Feb 24 2014,Acapulco,Q,$3.555,$1.359,-0.37,1.33,4,10
Tomas Berdych,Roger Federer,Roger Federer,Feb 24 2014,Dubai,F,$2.298,$1.719,-0.23,0.61,2,8
Tomas Berdych,Jo-Wilfried Tsonga,Tomas Berdych,Feb 24 2014,Dubai,Q,$1.384,$3.397,0.2,-0.73,3,11
Grigor Dimitrov,Ernests Gulbis,Grigor Dimitrov,Feb 24 2014,Acapulco,Q,$1.830,$2.125,0.09,-0.01,7,4
