player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Roger Federer,Kei Nishikori,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.265,$4.415,1.78,0.07,18,9
David Ferrer,Rafael Nadal,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$7.855,$1.124,0.58,1.82,12,16
David Ferrer,Tommy Haas,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.404,$3.284,2.6,0.96,19,22
Tommy Haas,David Ferrer,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$3.284,$1.404,0.96,2.6,22,19
Tommy Haas,Tommy Robredo,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$1.602,$2.547,0.31,-0.64,20,8
Tommy Haas,Andreas Seppi,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,$1.594,$2.566,1.76,-1.34,17,12
Rafael Nadal,David Ferrer,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$1.124,$7.855,1.82,0.58,16,12
Rafael Nadal,Mikhail Youzhny,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.021,$26.377,5.16,-1.55,21,11
Kei Nishikori,Roger Federer,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$4.415,$1.265,0.07,1.78,9,18
Milos Raonic,Fernando Verdasco,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$1.388,$3.375,0.92,-0.28,12,18
Tommy Robredo,Tommy Haas,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$2.547,$1.602,-0.64,0.31,8,20
Andreas Seppi,Tommy Haas,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,$2.566,$1.594,-1.34,1.76,12,17
Jo-Wilfried Tsonga,Stan Wawrinka,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$2.428,$1.653,-0.12,2.32,5,23
