player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Grigor Dimitrov,Novak Djokovic,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,$9.817,$1.093,-0.64,2.8,5,20
Novak Djokovic,Rafael Nadal,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,$2.582,$1.588,-0.02,1.61,13,20
Novak Djokovic,Grigor Dimitrov,Novak Djokovic,May 27 2013,French Open Slam,Round of 32,$1.093,$9.817,2.8,-0.64,20,5
David Ferrer,Jo-Wilfried Tsonga,David Ferrer,May 27 2013,French Open Slam,Semi Final,$1.682,$2.367,1.94,-0.11,20,2
David Ferrer,Kevin Anderson,David Ferrer,May 27 2013,French Open Slam,Round of 16,$1.170,$6.153,3,-0.61,13,3
Richard Gasquet,Stan Wawrinka,Stan Wawrinka,May 27 2013,French Open Slam,Round of 16,$2.125,$1.830,-1,1.31,8,13
Ernests Gulbis,Gael Monfils,Gael Monfils,May 27 2013,French Open Slam,Round of 64,$1.735,$2.269,1.19,-0.6,19,8
Tommy Haas,Mikhail Youzhny,Tommy Haas,May 27 2013,French Open Slam,Round of 16,$1.823,$2.135,1.28,-1.37,7,9
Tommy Haas,John Isner,Tommy Haas,May 27 2013,French Open Slam,Round of 32,$1.373,$3.467,0.74,-0.46,17,6
John Isner,Tommy Haas,Tommy Haas,May 27 2013,French Open Slam,Round of 32,$3.467,$1.373,-0.46,0.74,6,17
Gael Monfils,Tommy Robredo,Tommy Robredo,May 27 2013,French Open Slam,Round of 32,$1.513,$2.809,-0.54,0.89,7,16
Gael Monfils,Ernests Gulbis,Gael Monfils,May 27 2013,French Open Slam,Round of 64,$2.269,$1.735,-0.6,1.19,8,19
Gael Monfils,Tomas Berdych,Gael Monfils,May 27 2013,French Open Slam,Round of 128,$4.580,$1.252,0.96,1.13,10,18
Rafael Nadal,Novak Djokovic,Rafael Nadal,May 27 2013,French Open Slam,Semi Final,$1.588,$2.582,1.61,-0.02,20,13
Rafael Nadal,Stan Wawrinka,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,$1.065,$12.872,3.81,-0.44,14,5
Rafael Nadal,Kei Nishikori,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,$1.041,$17.789,1.77,-0.42,22,4
Kei Nishikori,Rafael Nadal,Rafael Nadal,May 27 2013,French Open Slam,Round of 16,$17.789,$1.041,-0.42,1.77,4,22
Milos Raonic,Kevin Anderson,Kevin Anderson,May 27 2013,French Open Slam,Round of 32,$1.698,$2.337,-0.69,0.58,7,3
Tommy Robredo,Nicolas Almagro,Tommy Robredo,May 27 2013,French Open Slam,Round of 16,$5.047,$1.221,0.88,-0.05,15,2
Tommy Robredo,Gael Monfils,Tommy Robredo,May 27 2013,French Open Slam,Round of 32,$2.809,$1.513,0.89,-0.54,16,7
Andreas Seppi,Nicolas Almagro,Nicolas Almagro,May 27 2013,French Open Slam,Round of 32,$5.085,$1.219,-0.86,0.2,5,1
Jo-Wilfried Tsonga,David Ferrer,David Ferrer,May 27 2013,French Open Slam,Semi Final,$2.367,$1.682,-0.11,1.94,2,20
Jo-Wilfried Tsonga,Jeremy Chardy,Jo-Wilfried Tsonga,May 27 2013,French Open Slam,Round of 32,$1.276,$4.290,0.83,-0.26,5,2
Stan Wawrinka,Rafael Nadal,Rafael Nadal,May 27 2013,French Open Slam,Quarter Final,$12.872,$1.065,-0.44,3.81,5,14
Stan Wawrinka,Richard Gasquet,Stan Wawrinka,May 27 2013,French Open Slam,Round of 16,$1.830,$2.125,1.31,-1,13,8
