matchId,tournament,player1,player2,winner,t_round,duration,p1Aces,p1DoubleFaults,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p2Aces,p2DoubleFaults,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,urlVisited
,Rio de Janeiro,Rafael Nadal,Pablo Andujar,Rafael Nadal,S,167,4,4,59,72,44,32,44,50,,,,,,,0,0,76,67,59,27,59,21,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=6&p=N409
,Rio de Janeiro,Rafael Nadal,Alexandr Dolgopolov,Rafael Nadal,F,101,3,0,63,79,56,26,56,66,,,,,,,10,1,44,73,45,20,45,25,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=6932&y=2014&r=7&p=N409
,ATP World Tour Masters 1000 Indian Wells,Rafael Nadal,Radek Stepanek,Rafael Nadal,R64,144,2,8,65,83,39,27,39,30,,,,,,,12,5,56,72,45,16,45,37,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=2&p=N409
,ATP World Tour Masters 1000 Indian Wells,Alexandr Dolgopolov,Rafael Nadal,Alexandr Dolgopolov,R32,139,11,3,40,76,47,29,47,80,,,,,,,2,1,63,70,53,23,53,66,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=404&y=2014&r=3&p=D801
,ATP World Tour Masters 1000 Miami,Rafael Nadal,Lleyton Hewitt,Rafael Nadal,R64,69,1,0,62,80,86,48,86,80,,,,,,,3,0,74,51,53,20,53,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=2&p=N409
,ATP World Tour Masters 1000 Miami,Rafael Nadal,Denis Istomin,Rafael Nadal,R32,60,3,0,77,70,87,56,87,85,,,,,,,4,1,56,44,26,29,26,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=3&p=N409
,ATP World Tour Masters 1000 Miami,Rafael Nadal,Fabio Fognini,Rafael Nadal,R16,62,3,1,65,95,83,37,83,50,,,,,,,2,1,56,62,42,4,42,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=4&p=N409
,ATP World Tour Masters 1000 Miami,Rafael Nadal,Milos Raonic,Rafael Nadal,Q,156,2,2,75,74,57,24,57,33,,,,,,,8,5,55,75,39,25,39,33,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=5&p=N409
,ATP World Tour Masters 1000 Miami,Rafael Nadal,Tomas Berdych,Rafael Nadal,S,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=6&p=N409
,ATP World Tour Masters 1000 Miami,Novak Djokovic,Rafael Nadal,Novak Djokovic,F,84,5,0,71,85,57,40,57,75,,,,,,,2,1,71,59,46,14,46,0,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=403&y=2014&r=7&p=D643
,ATP World Tour Masters 1000 Monte Carlo,Rafael Nadal,Teymuraz Gabashvili,Rafael Nadal,R32,73,2,0,75,79,23,52,23,100,,,,,,,1,2,50,47,28,20,28,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=3&p=N409
,ATP World Tour Masters 1000 Monte Carlo,Rafael Nadal,Andreas Seppi,Rafael Nadal,R16,74,2,2,64,82,43,44,43,100,,,,,,,1,0,55,55,31,17,31,16,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=4&p=N409
,ATP World Tour Masters 1000 Monte Carlo,David Ferrer,Rafael Nadal,David Ferrer,Q,134,1,1,61,60,57,40,57,40,,,,,,,1,2,61,59,45,40,45,30,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=410&y=2014&r=5&p=F401
,Barcelona,Rafael Nadal,Albert Ramos,Rafael Nadal,R32,117,1,0,72,68,63,35,63,100,,,,,,,1,3,59,65,40,31,40,50,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=3&p=N409
,Barcelona,Rafael Nadal,Ivan Dodig,Rafael Nadal,R16,84,1,0,75,69,75,34,75,50,,,,,,,5,3,56,65,36,30,36,100,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=4&p=N409
,Barcelona,Nicolas Almagro,Rafael Nadal,Nicolas Almagro,Q,167,4,2,53,66,44,29,44,57,,,,,,,2,4,67,70,46,33,46,27,,,,,,,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=425&y=2014&r=5&p=A479
